epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,8369.51,0.93758,1.28992,0.55085,0.94654,0.88735,0.82589,0.88314,0.63105,0.89086,0.82916,0.88325,0.60568,1.01449,1.48315,0.57525,1.03226,0.0011684,0.0011684,0.0011684
65,8500.54,0.93558,1.28305,0.54984,0.94662,0.89534,0.82504,0.88613,0.63386,0.8994,0.82878,0.88655,0.61419,1.00985,1.43128,0.56563,1.03116,0.0011552,0.0011552,0.0011552
66,8631,0.93101,1.27649,0.54343,0.94334,0.888,0.82368,0.88275,0.62694,0.8918,0.82794,0.88375,0.60483,1.02626,1.45335,0.57919,1.03852,0.001142,0.001142,0.001142
67,8761.74,0.93343,1.28329,0.54768,0.94537,0.89102,0.82405,0.88374,0.62667,0.89368,0.8265,0.88312,0.60321,1.02927,1.46163,0.57562,1.03776,0.0011288,0.0011288,0.0011288
68,8892.64,0.94011,1.28862,0.55048,0.94533,0.88745,0.82967,0.88601,0.6258,0.89055,0.83309,0.88689,0.60327,1.03133,1.47776,0.58024,1.03726,0.0011156,0.0011156,0.0011156
69,9023.81,0.9425,1.2914,0.55189,0.94728,0.89276,0.82644,0.88623,0.62859,0.89476,0.82944,0.88528,0.60826,1.0276,1.44117,0.56986,1.04009,0.0011024,0.0011024,0.0011024
70,9154.01,0.92602,1.27288,0.54368,0.94288,0.89256,0.82864,0.88735,0.6347,0.89451,0.83249,0.88747,0.61335,1.01273,1.44598,0.56624,1.03021,0.0010892,0.0010892,0.0010892
71,9283.26,0.93471,1.28319,0.54678,0.94463,0.89233,0.82386,0.88279,0.62844,0.89428,0.8263,0.88183,0.6046,1.02163,1.45245,0.57664,1.03434,0.001076,0.001076,0.001076
72,9414.6,0.93865,1.28087,0.54628,0.94474,0.88747,0.82364,0.88393,0.622,0.89272,0.82703,0.88443,0.60026,1.0438,1.47802,0.58332,1.0394,0.0010628,0.0010628,0.0010628
73,9546.87,0.92964,1.28048,0.54483,0.94341,0.89088,0.82488,0.88522,0.62723,0.89362,0.82826,0.88438,0.603,1.0307,1.45588,0.57275,1.03607,0.0010496,0.0010496,0.0010496
74,9677.23,0.93058,1.27769,0.54396,0.94304,0.89442,0.82247,0.885,0.6351,0.89709,0.82492,0.88341,0.61105,1.00594,1.42829,0.57081,1.02594,0.0010364,0.0010364,0.0010364
75,9807.22,0.93282,1.28332,0.54553,0.94404,0.89297,0.82646,0.88699,0.63972,0.89609,0.83001,0.88688,0.6187,0.9918,1.41137,0.55923,1.0234,0.0010232,0.0010232,0.0010232
76,9938.52,0.92724,1.27215,0.53827,0.94232,0.89578,0.82456,0.88619,0.63252,0.8963,0.82944,0.88587,0.60934,1.01891,1.43906,0.56204,1.03321,0.00101,0.00101,0.00101
77,10067.7,0.92659,1.26418,0.53954,0.9423,0.89465,0.82875,0.88753,0.63662,0.89791,0.83078,0.88606,0.61299,1.00592,1.43807,0.55974,1.02786,0.0009968,0.0009968,0.0009968
78,10199.5,0.92129,1.26165,0.53269,0.93913,0.8953,0.82916,0.88897,0.63582,0.89664,0.83405,0.88842,0.61513,1.01135,1.41638,0.55739,1.02919,0.0009836,0.0009836,0.0009836
79,10330.8,0.92386,1.26405,0.53841,0.94049,0.89831,0.8245,0.88745,0.63005,0.90161,0.82752,0.88693,0.60863,1.02743,1.44109,0.56327,1.0357,0.0009704,0.0009704,0.0009704
80,10461.5,0.92078,1.25981,0.53572,0.93836,0.89365,0.82395,0.88529,0.63018,0.89775,0.82855,0.88609,0.60615,1.01952,1.45934,0.56779,1.03475,0.0009572,0.0009572,0.0009572
81,10591.4,0.92328,1.2666,0.53666,0.94285,0.89248,0.82684,0.88592,0.63061,0.89526,0.83047,0.88621,0.60942,1.02124,1.45194,0.56526,1.03313,0.000944,0.000944,0.000944
82,10721.7,0.92325,1.2613,0.53501,0.94084,0.89444,0.82361,0.88546,0.63684,0.89641,0.82729,0.88492,0.61546,0.99907,1.41257,0.56655,1.02412,0.0009308,0.0009308,0.0009308
83,10852.8,0.92238,1.25749,0.53617,0.93954,0.89923,0.82713,0.88823,0.64169,0.90133,0.82965,0.8874,0.62159,0.99364,1.4162,0.55029,1.02195,0.0009176,0.0009176,0.0009176
84,10982.4,0.92567,1.26637,0.53584,0.94059,0.8924,0.82803,0.88692,0.6262,0.89626,0.83161,0.88644,0.60266,1.04119,1.47858,0.56459,1.04112,0.0009044,0.0009044,0.0009044
85,11112.6,0.91508,1.24862,0.53064,0.93817,0.89756,0.82346,0.88698,0.63451,0.90151,0.82667,0.88698,0.61136,1.00924,1.44396,0.56061,1.02982,0.0008912,0.0008912,0.0008912
