epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,3704.15,1.45984,0.71096,1.122,0.87052,0.7664,0.85147,0.45152,1.62786,0.81017,1.2882,0.0008648,0.0008648,0.0008648
88,3745.62,1.45548,0.70887,1.12043,0.88571,0.7878,0.87238,0.46634,1.60128,0.78188,1.26946,0.0008516,0.0008516,0.0008516
89,3787.62,1.45756,0.71253,1.12115,0.84612,0.74958,0.83548,0.4389,1.6363,0.86602,1.29326,0.0008384,0.0008384,0.0008384
90,3829.16,1.45978,0.70598,1.1212,0.86947,0.77718,0.86017,0.45858,1.62127,0.79903,1.28854,0.0008252,0.0008252,0.0008252
91,3870.79,1.46709,0.71364,1.12549,0.86998,0.76936,0.8543,0.45346,1.62984,0.7987,1.28359,0.000812,0.000812,0.000812
92,3912.48,1.45447,0.70456,1.11952,0.86711,0.77676,0.85833,0.45782,1.62107,0.7924,1.28744,0.0007988,0.0007988,0.0007988
93,3954.06,1.45306,0.70203,1.1196,0.87044,0.76762,0.85079,0.45006,1.6538,0.80007,1.29691,0.0007856,0.0007856,0.0007856
94,3996.12,1.45692,0.70417,1.12057,0.84084,0.73765,0.82573,0.42909,1.67356,0.86296,1.31076,0.0007724,0.0007724,0.0007724
95,4038.08,1.45549,0.70497,1.11862,0.82863,0.72054,0.80831,0.41781,1.69109,0.87957,1.31644,0.0007592,0.0007592,0.0007592
96,4079.81,1.45006,0.70157,1.11731,0.86921,0.77854,0.8592,0.45927,1.62087,0.7903,1.28088,0.000746,0.000746,0.000746
97,4121.32,1.45024,0.69992,1.11709,0.86848,0.77448,0.8573,0.45263,1.64104,0.79046,1.29216,0.0007328,0.0007328,0.0007328
98,4162.79,1.45152,0.70544,1.12558,0.87716,0.78205,0.86468,0.46055,1.62951,0.78076,1.28925,0.0007196,0.0007196,0.0007196
99,4204.52,1.44655,0.69874,1.11865,0.86997,0.77306,0.85733,0.4528,1.6401,0.80283,1.29371,0.0007064,0.0007064,0.0007064
100,4246.05,1.44548,0.69399,1.11896,0.86153,0.76494,0.84693,0.44362,1.65922,0.81437,1.30598,0.0006932,0.0006932,0.0006932
101,4287.57,1.44391,0.69443,1.11772,0.86108,0.77055,0.85316,0.44648,1.65234,0.81202,1.30024,0.00068,0.00068,0.00068
102,4329.31,1.44643,0.69819,1.11738,0.87003,0.77149,0.85605,0.44812,1.65476,0.80533,1.30493,0.0006668,0.0006668,0.0006668
103,4370.76,1.44371,0.69747,1.12027,0.85926,0.75389,0.83807,0.43399,1.67436,0.82708,1.3129,0.0006536,0.0006536,0.0006536
104,4412.46,1.44285,0.70134,1.11596,0.85412,0.75547,0.83903,0.43708,1.66791,0.83063,1.30831,0.0006404,0.0006404,0.0006404
105,4454.02,1.45435,0.70124,1.12099,0.86665,0.76821,0.85248,0.45195,1.63522,0.79802,1.2922,0.0006272,0.0006272,0.0006272
106,4495.74,1.44214,0.69177,1.1145,0.85452,0.74972,0.83591,0.43056,1.68468,0.83709,1.32288,0.000614,0.000614,0.000614
107,4537.31,1.43566,0.69172,1.11373,0.85053,0.74081,0.82941,0.42846,1.68425,0.84598,1.31688,0.0006008,0.0006008,0.0006008
108,4579.05,1.44166,0.69092,1.11562,0.86541,0.76703,0.84947,0.44074,1.6704,0.80878,1.30873,0.0005876,0.0005876,0.0005876
109,4620.74,1.43702,0.69174,1.11571,0.8724,0.77216,0.85563,0.45305,1.6395,0.78841,1.29268,0.0005744,0.0005744,0.0005744
110,4662.63,1.43307,0.69388,1.11209,0.85675,0.75551,0.83944,0.43908,1.66368,0.82006,1.30457,0.0005612,0.0005612,0.0005612
111,4704.68,1.43958,0.6911,1.11219,0.85417,0.76053,0.84427,0.44503,1.65085,0.81695,1.29932,0.000548,0.000548,0.000548
112,4746.53,1.43723,0.68899,1.1124,0.84811,0.7538,0.83776,0.43829,1.66312,0.83073,1.30844,0.0005348,0.0005348,0.0005348
113,4788.25,1.43296,0.68616,1.11196,0.83679,0.73717,0.82286,0.42368,1.69779,0.86007,1.3235,0.0005216,0.0005216,0.0005216
114,4829.84,1.43654,0.68807,1.11221,0.85851,0.76392,0.84829,0.44877,1.64362,0.80313,1.29418,0.0005084,0.0005084,0.0005084
115,4871.49,1.43531,0.68764,1.11222,0.857,0.74895,0.83828,0.43712,1.66729,0.82919,1.30514,0.0004952,0.0004952,0.0004952
116,4913.24,1.42845,0.68319,1.10969,0.82666,0.7105,0.80217,0.40701,1.72867,0.90766,1.32823,0.000482,0.000482,0.000482
117,4955.08,1.43592,0.68755,1.11148,0.84904,0.74426,0.83309,0.43568,1.66481,0.84099,1.30067,0.0004688,0.0004688,0.0004688
118,4996.58,1.4292,0.68249,1.1102,0.83939,0.73382,0.82256,0.42569,1.68665,0.86136,1.31422,0.0004556,0.0004556,0.0004556
119,5038.38,1.43282,0.68299,1.11039,0.84223,0.73752,0.82521,0.43196,1.67124,0.85666,1.30675,0.0004424,0.0004424,0.0004424
120,5080.1,1.43302,0.681,1.11099,0.86771,0.77548,0.85806,0.45767,1.6313,0.78259,1.28912,0.0004292,0.0004292,0.0004292
121,5121.84,1.42669,0.6789,1.10891,0.87327,0.78386,0.86583,0.46291,1.62036,0.77333,1.28219,0.000416,0.000416,0.000416
122,5163.51,1.4273,0.67942,1.1097,0.8675,0.78075,0.86208,0.45861,1.62403,0.78558,1.28214,0.0004028,0.0004028,0.0004028
123,5204.99,1.43092,0.68045,1.11296,0.86759,0.77984,0.86149,0.45565,1.63431,0.78506,1.28944,0.0003896,0.0003896,0.0003896
124,5246.63,1.42385,0.67918,1.10954,0.85999,0.75958,0.84664,0.446,1.64962,0.81898,1.2968,0.0003764,0.0003764,0.0003764
125,5287.86,1.41696,0.67382,1.10757,0.86033,0.76607,0.84988,0.4473,1.65141,0.80567,1.29857,0.0003632,0.0003632,0.0003632
126,5329.45,1.42288,0.67503,1.10675,0.86285,0.76719,0.85186,0.44859,1.6493,0.80266,1.2983,0.00035,0.00035,0.00035
127,5371.4,1.41951,0.67588,1.10496,0.86934,0.77998,0.86124,0.45795,1.62495,0.7871,1.28413,0.0003368,0.0003368,0.0003368
128,5413.37,1.42626,0.68058,1.10777,0.87182,0.78499,0.86479,0.45883,1.62568,0.78054,1.28567,0.0003236,0.0003236,0.0003236
129,5455.29,1.42552,0.67633,1.1063,0.87338,0.78209,0.86343,0.45937,1.62608,0.776,1.28428,0.0003104,0.0003104,0.0003104
130,5496.93,1.42809,0.67844,1.10821,0.86806,0.78158,0.86164,0.45698,1.63097,0.77922,1.28949,0.0002972,0.0002972,0.0002972
131,5538.42,1.42365,0.67715,1.11042,0.86637,0.78043,0.86076,0.45802,1.62787,0.78078,1.28681,0.000284,0.000284,0.000284
132,5580,1.41969,0.67287,1.10575,0.86767,0.77346,0.85624,0.45172,1.64285,0.79047,1.29421,0.0002708,0.0002708,0.0002708
133,5621.81,1.42303,0.67619,1.10996,0.86362,0.7757,0.85695,0.45237,1.63982,0.79125,1.29234,0.0002576,0.0002576,0.0002576
134,5663.2,1.4185,0.67309,1.10948,0.86867,0.77739,0.85857,0.45378,1.6367,0.78667,1.29051,0.0002444,0.0002444,0.0002444
135,5705.18,1.42011,0.67485,1.10599,0.869,0.77457,0.85771,0.45546,1.63313,0.78542,1.28691,0.0002312,0.0002312,0.0002312
136,5746.58,1.41946,0.67224,1.10681,0.86672,0.77412,0.8561,0.45254,1.64197,0.78792,1.2917,0.000218,0.000218,0.000218
137,5788.39,1.41218,0.66966,1.10286,0.86749,0.77466,0.85628,0.45235,1.64257,0.78568,1.29173,0.0002048,0.0002048,0.0002048
138,5829.92,1.41787,0.66852,1.1091,0.8581,0.76338,0.84624,0.44402,1.65609,0.8081,1.29875,0.0001916,0.0001916,0.0001916
139,5871.72,1.4236,0.67258,1.10705,0.86266,0.76704,0.85004,0.44955,1.6431,0.80099,1.29096,0.0001784,0.0001784,0.0001784
140,5913.48,1.40702,0.66361,1.10268,0.8558,0.76201,0.84536,0.44425,1.65469,0.8147,1.29639,0.0001652,0.0001652,0.0001652
141,5953.82,1.41438,0.66087,1.12772,0.86562,0.77538,0.85774,0.45628,1.63499,0.78473,1.28862,0.000152,0.000152,0.000152
142,5992.68,1.39972,0.65208,1.11771,0.86962,0.77908,0.86086,0.45778,1.63065,0.78036,1.28612,0.0001388,0.0001388,0.0001388
143,6031.11,1.39452,0.64626,1.11894,0.8735,0.78449,0.86481,0.45997,1.62595,0.77006,1.28383,0.0001256,0.0001256,0.0001256
144,6069.58,1.39499,0.64712,1.12085,0.87663,0.78812,0.86716,0.46098,1.62542,0.76458,1.2843,0.0001124,0.0001124,0.0001124
145,6107.72,1.3903,0.64504,1.1237,0.87737,0.7936,0.87045,0.4638,1.62118,0.75746,1.28254,9.92e-05,9.92e-05,9.92e-05
146,6146.23,1.39121,0.64363,1.12084,0.87839,0.79473,0.8709,0.46374,1.62025,0.75759,1.28161,8.6e-05,8.6e-05,8.6e-05
147,6184.67,1.389,0.64371,1.11761,0.87814,0.7948,0.87137,0.46386,1.62203,0.75588,1.28219,7.28e-05,7.28e-05,7.28e-05
148,6222.89,1.38867,0.64019,1.11845,0.87746,0.79427,0.87099,0.46298,1.62164,0.75779,1.28199,5.96e-05,5.96e-05,5.96e-05
149,6261.15,1.38837,0.64043,1.12094,0.87845,0.79399,0.87114,0.46302,1.62049,0.75764,1.28198,4.64e-05,4.64e-05,4.64e-05
150,6299.69,1.3845,0.63801,1.1144,0.8795,0.79545,0.87196,0.46356,1.61905,0.75596,1.28133,3.32e-05,3.32e-05,3.32e-05
