epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,3250.51,1.44015,0.67656,1.12312,0.91357,0.84191,0.91391,0.50562,1.5525,0.67639,1.28564,0.0008912,0.0008912,0.0008912
86,3288.36,1.44493,0.6822,1.12634,0.91004,0.84399,0.91247,0.49933,1.56487,0.68317,1.29262,0.000878,0.000878,0.000878
87,3326.47,1.44451,0.67828,1.12575,0.91444,0.83803,0.91134,0.50229,1.55839,0.67904,1.29117,0.0008648,0.0008648,0.0008648
88,3364.39,1.43845,0.67716,1.12612,0.91553,0.83776,0.91227,0.50389,1.54829,0.68326,1.28786,0.0008516,0.0008516,0.0008516
89,3402.32,1.44287,0.67703,1.12564,0.91161,0.83985,0.91144,0.49718,1.56578,0.69152,1.29592,0.0008384,0.0008384,0.0008384
90,3440.12,1.4405,0.67134,1.12363,0.90715,0.8422,0.91191,0.50088,1.55704,0.67684,1.2955,0.0008252,0.0008252,0.0008252
91,3478.23,1.45136,0.67813,1.13051,0.91218,0.83936,0.91179,0.49752,1.56975,0.68019,1.30025,0.000812,0.000812,0.000812
92,3515.99,1.43693,0.67241,1.12253,0.91358,0.83956,0.91122,0.49967,1.55542,0.68087,1.29427,0.0007988,0.0007988,0.0007988
93,3553.96,1.43442,0.66758,1.12223,0.91419,0.83967,0.91236,0.5031,1.54989,0.68822,1.28699,0.0007856,0.0007856,0.0007856
94,3592.19,1.44052,0.67075,1.12375,0.91201,0.8424,0.91261,0.50069,1.55462,0.67829,1.2942,0.0007724,0.0007724,0.0007724
95,3630.07,1.43885,0.67174,1.1239,0.91164,0.84547,0.91412,0.50237,1.56154,0.67486,1.30131,0.0007592,0.0007592,0.0007592
96,3667.92,1.43341,0.66861,1.12232,0.91132,0.84538,0.91355,0.49954,1.56835,0.68008,1.29343,0.000746,0.000746,0.000746
97,3705.54,1.43247,0.66687,1.12009,0.91455,0.84375,0.91462,0.50335,1.56307,0.66594,1.29805,0.0007328,0.0007328,0.0007328
98,3743.1,1.43723,0.67352,1.13171,0.91203,0.84256,0.91316,0.5058,1.54842,0.67113,1.28905,0.0007196,0.0007196,0.0007196
99,3780.89,1.43123,0.66451,1.12373,0.91362,0.84299,0.9131,0.5001,1.56764,0.67653,1.30116,0.0007064,0.0007064,0.0007064
100,3818.34,1.43027,0.66211,1.12442,0.91688,0.841,0.91353,0.50212,1.56231,0.66695,1.30102,0.0006932,0.0006932,0.0006932
101,3856.22,1.42663,0.66248,1.1212,0.91483,0.84326,0.91416,0.49833,1.57583,0.67326,1.29933,0.00068,0.00068,0.00068
102,3893.83,1.42904,0.66364,1.12045,0.91147,0.84612,0.91463,0.50297,1.56486,0.67111,1.29374,0.0006668,0.0006668,0.0006668
103,3931.66,1.42852,0.66565,1.12588,0.91467,0.84381,0.91376,0.50083,1.56557,0.6709,1.29944,0.0006536,0.0006536,0.0006536
104,3969.34,1.42758,0.66433,1.12307,0.91275,0.84053,0.91241,0.49905,1.57413,0.67605,1.30284,0.0006404,0.0006404,0.0006404
105,4007.02,1.4372,0.66701,1.12638,0.91414,0.84064,0.91196,0.50353,1.55424,0.6699,1.29273,0.0006272,0.0006272,0.0006272
106,4044.9,1.42808,0.65771,1.11959,0.91511,0.84004,0.91198,0.49979,1.57322,0.67196,1.30308,0.000614,0.000614,0.000614
107,4082.85,1.41943,0.65586,1.11896,0.91322,0.8415,0.91175,0.50311,1.55298,0.67245,1.28911,0.0006008,0.0006008,0.0006008
108,4120.73,1.42577,0.65687,1.11996,0.9139,0.84436,0.91371,0.49706,1.58344,0.67066,1.30785,0.0005876,0.0005876,0.0005876
109,4158.55,1.42185,0.65686,1.1209,0.91525,0.84324,0.91405,0.50144,1.56684,0.66823,1.29991,0.0005744,0.0005744,0.0005744
110,4196.58,1.41671,0.65843,1.11817,0.91151,0.8424,0.91258,0.50089,1.56067,0.67178,1.29863,0.0005612,0.0005612,0.0005612
111,4234.53,1.42292,0.65578,1.11852,0.91065,0.84443,0.91282,0.50009,1.56511,0.67336,1.30053,0.000548,0.000548,0.000548
112,4272.27,1.42007,0.65471,1.117,0.912,0.84501,0.91382,0.50033,1.56316,0.66881,1.2992,0.0005348,0.0005348,0.0005348
113,4310.1,1.41563,0.65295,1.11694,0.91178,0.84405,0.91415,0.50367,1.55758,0.66242,1.2968,0.0005216,0.0005216,0.0005216
114,4348.11,1.41933,0.6531,1.11939,0.91011,0.84293,0.91269,0.50121,1.56817,0.66293,1.30922,0.0005084,0.0005084,0.0005084
115,4385.78,1.41781,0.65417,1.11656,0.9117,0.84231,0.91362,0.49994,1.5711,0.66585,1.30418,0.0004952,0.0004952,0.0004952
116,4423.63,1.41272,0.64931,1.1156,0.91167,0.84178,0.91252,0.49538,1.5811,0.67068,1.30817,0.000482,0.000482,0.000482
117,4461.78,1.4179,0.65228,1.11712,0.91223,0.84324,0.91332,0.49687,1.58023,0.66635,1.31178,0.0004688,0.0004688,0.0004688
118,4499.65,1.41112,0.64826,1.1177,0.91138,0.84191,0.91122,0.49941,1.57166,0.67135,1.30935,0.0004556,0.0004556,0.0004556
119,4537.27,1.41628,0.64985,1.11556,0.91209,0.84335,0.91313,0.50043,1.57029,0.66663,1.30428,0.0004424,0.0004424,0.0004424
120,4575.19,1.41489,0.64876,1.11463,0.91261,0.84533,0.91458,0.50117,1.57237,0.66486,1.30014,0.0004292,0.0004292,0.0004292
121,4613.12,1.41038,0.64622,1.11374,0.91278,0.84197,0.913,0.50199,1.5741,0.66473,1.30373,0.000416,0.000416,0.000416
122,4650.98,1.41123,0.64435,1.11485,0.91189,0.84391,0.91365,0.4975,1.58232,0.67012,1.30704,0.0004028,0.0004028,0.0004028
123,4689.17,1.41373,0.64635,1.11834,0.91338,0.84375,0.91381,0.49935,1.56914,0.66676,1.30143,0.0003896,0.0003896,0.0003896
124,4726.92,1.40796,0.6428,1.11582,0.91154,0.84649,0.91451,0.50106,1.56866,0.66228,1.3021,0.0003764,0.0003764,0.0003764
125,4764.7,1.40104,0.64116,1.11375,0.91067,0.845,0.91384,0.49604,1.58319,0.66921,1.30824,0.0003632,0.0003632,0.0003632
126,4802.37,1.40621,0.64112,1.11108,0.90992,0.84484,0.9124,0.49351,1.58736,0.67069,1.31243,0.00035,0.00035,0.00035
127,4840.22,1.40199,0.6397,1.11053,0.91067,0.84572,0.91316,0.49985,1.57411,0.66457,1.30574,0.0003368,0.0003368,0.0003368
128,4878.05,1.41151,0.6446,1.11422,0.91038,0.84366,0.91226,0.49616,1.58302,0.66942,1.30706,0.0003236,0.0003236,0.0003236
129,4916.16,1.40941,0.64139,1.11151,0.91324,0.84589,0.91463,0.50213,1.56951,0.65893,1.29834,0.0003104,0.0003104,0.0003104
130,4954.17,1.40888,0.64257,1.11197,0.9115,0.84653,0.91402,0.501,1.56827,0.6631,1.29985,0.0002972,0.0002972,0.0002972
131,4991.82,1.40596,0.6411,1.1158,0.9115,0.84511,0.91398,0.50127,1.56912,0.66164,1.29947,0.000284,0.000284,0.000284
