epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,4093.1,1.45152,0.70544,1.12558,0.90737,0.82499,0.89757,0.47232,1.61578,0.73374,1.28166,0.0007196,0.0007196,0.0007196
99,4134.82,1.44655,0.69874,1.11865,0.90631,0.82171,0.89634,0.47127,1.60944,0.74576,1.28121,0.0007064,0.0007064,0.0007064
100,4176.4,1.44548,0.69399,1.11896,0.91268,0.82506,0.89855,0.4755,1.60526,0.72325,1.28019,0.0006932,0.0006932,0.0006932
101,4217.86,1.44391,0.69443,1.11772,0.90406,0.82827,0.89764,0.46893,1.61635,0.73239,1.28544,0.00068,0.00068,0.00068
102,4259.5,1.44643,0.69819,1.11738,0.90433,0.82041,0.89332,0.46704,1.61696,0.7549,1.28802,0.0006668,0.0006668,0.0006668
103,4300.9,1.44371,0.69747,1.12027,0.90568,0.81679,0.89254,0.46967,1.6021,0.74484,1.27843,0.0006536,0.0006536,0.0006536
104,4342.74,1.44285,0.70134,1.11596,0.90551,0.81733,0.89254,0.4705,1.59265,0.7619,1.27397,0.0006404,0.0006404,0.0006404
105,4384.28,1.45435,0.70124,1.12099,0.90424,0.81651,0.89067,0.46537,1.61775,0.75367,1.28106,0.0006272,0.0006272,0.0006272
106,4426.02,1.44214,0.69177,1.1145,0.90315,0.81969,0.89195,0.46511,1.61395,0.75319,1.28493,0.000614,0.000614,0.000614
107,4467.78,1.43566,0.69172,1.11373,0.90771,0.82437,0.89666,0.47459,1.59664,0.73175,1.27585,0.0006008,0.0006008,0.0006008
108,4509.41,1.44166,0.69092,1.11562,0.90709,0.82512,0.89818,0.4786,1.58162,0.73014,1.26794,0.0005876,0.0005876,0.0005876
109,4550.76,1.43702,0.69174,1.11571,0.90437,0.82244,0.89548,0.4699,1.60496,0.74341,1.27708,0.0005744,0.0005744,0.0005744
110,4592.44,1.43307,0.69388,1.11209,0.90242,0.82418,0.89255,0.46504,1.6198,0.73992,1.28306,0.0005612,0.0005612,0.0005612
111,4633.93,1.43958,0.6911,1.11219,0.90487,0.82255,0.89385,0.46879,1.60837,0.74287,1.27977,0.000548,0.000548,0.000548
112,4675.75,1.43723,0.68899,1.1124,0.90506,0.82084,0.89442,0.47196,1.58804,0.75175,1.27298,0.0005348,0.0005348,0.0005348
113,4717.54,1.43296,0.68616,1.11196,0.90541,0.82392,0.89503,0.47331,1.59571,0.73523,1.27211,0.0005216,0.0005216,0.0005216
114,4759.18,1.43654,0.68807,1.11221,0.90223,0.82765,0.89565,0.47113,1.60538,0.73019,1.27793,0.0005084,0.0005084,0.0005084
115,4801.07,1.43531,0.68764,1.11222,0.90133,0.81685,0.88971,0.45892,1.63173,0.75862,1.29199,0.0004952,0.0004952,0.0004952
116,4842.45,1.42845,0.68319,1.10969,0.90319,0.81822,0.88988,0.45901,1.62397,0.761,1.28381,0.000482,0.000482,0.000482
117,4884.3,1.43592,0.68755,1.11148,0.904,0.82137,0.89324,0.46405,1.6197,0.75068,1.28127,0.0004688,0.0004688,0.0004688
118,4925.72,1.4292,0.68249,1.1102,0.9093,0.82445,0.89662,0.46877,1.61785,0.73247,1.28137,0.0004556,0.0004556,0.0004556
119,4967.43,1.43282,0.68299,1.11039,0.90696,0.8272,0.89653,0.47447,1.59491,0.73449,1.27187,0.0004424,0.0004424,0.0004424
